;;Nucleos Barcelona;;
;Tipo Sector;Barcelona TMA;Barcelona Ruta Este;Barcelona Ruta Oeste
L1234DXE;APP;X;;
L1234DXN;APP;X;;
L1234DXW;APP;X;;
LEB1234E;APP;X;;
LEB1234W;APP;X;;
LEB12FXW;APP;X;;
LEB34FDE;APP;X;;
LEB34FDN;APP;X;;
LEBL123E;APP;X;;
LEBL124E;APP;X;;
LEBL124N;APP;X;;
LEBL12E;APP;X;;
LEBL12N;APP;X;;
LEBL12W;APP;X;;
LEBL12XE;APP;X;;
LEBL12XN;APP;X;;
LEBL134N;APP;X;;
LEBL134W;APP;X;;
LEBL14E;APP;X;;
LEBL14N;APP;X;;
LEBL14W;APP;X;;
LEBL1FIW;APP;X;;
LEBL23E;APP;X;;
LEBL23FW;APP;X;;
LEBL23N;APP;X;;
LEBL23W;APP;X;;
LEBL2FIW;APP;X;;
LEBL2FN;APP;X;;
LEBL2XE;APP;X;;
LEBL2XN;APP;X;;
LEBL2XW;APP;X;;
LEBL34DE;APP;X;;
LEBL34DN;APP;X;;
LEBL34DW;APP;X;;
LEBL34E;APP;X;;
LEBL34FE;APP;X;;
LEBL34N;APP;X;;
LEBL34W;APP;X;;
LEBL3DE;APP;X;;
LEBL3DN;APP;X;;
LEBL3DW;APP;X;;
LEBL3FIE;APP;X;;
LEBL3FN;APP;X;;
LEBL4DDE;APP;X;;
LEBL4DDN;APP;X;;
LEBL4DE;APP;X;;
LEBL4DN;APP;X;;
LEBL4DW;APP;X;;
LEBL4FIE;APP;X;;
LEBLALB;APP;X;;
LEBLCORE;APP;X;;
LEBLD1E;APP;X;;
LEBLD1N;APP;X;;
LEBLDDI;APP;X;;
LEBLDDN;APP;X;;
LEBLDDS;APP;X;;
LEBLDDX;APP;X;;
LEBLF02;APP;X;;
LEBLF07;APP;X;;
LEBLF1W;APP;X;;
LEBLF25;APP;X;;
LEBLT1E;APP;X;;
LEBLT1N;APP;X;;
LEBLT1W;APP;X;;
LEBLT2E;APP;X;;
LEBLT2N;APP;X;;
LEBLT2W;APP;X;;
LEBLT3E;APP;X;;
LEBLT3N;APP;X;;
LEBLT3W;APP;X;;
LEBLT4E;APP;X;;
LEBLT4N;APP;X;;
LEBLT4W;APP;X;;
LEBLTGR;APP;X;;
LEBLXAL;APP;X;;
LEBLXAR;APP;X;;
LECBBAS;RUTA;;X;
LECBBKE;RUTA;;X;
LECBBKW;RUTA;;;X
LECBCBM;RUTA;;X;
LECBCCC;RUTA;;X;
LECBCCL;RUTA;;X;X
LECBCCU;RUTA;;X;X
LECBCVN;RUTA;;X;X
LECBG12;RUTA;;;X
LECBG23;RUTA;;;X
LECBGO1;RUTA;;X;X
LECBGO2;RUTA;;X;X
LECBGO3;RUTA;;X;X
LECBGOI;RUTA;;;X
LECBLGL;RUTA;;;X
LECBLGU;RUTA;;;X
LECBLLI;RUTA;;;X
LECBLVL;RUTA;;;X
LECBLVS;RUTA;;;X
LECBLVU;RUTA;;;X
LECBMLS;RUTA;;X;
LECBMMI;RUTA;;X;
LECBMNI;RUTA;;X;
LECBMNL;RUTA;;X;
LECBMNU;RUTA;;X;
LECBMUS;RUTA;;X;
LECBMVI;RUTA;;X;
LECBMVS;RUTA;;X;
LECBP2R;RUTA;;X;X
LECBPPI;RUTA;;;X
LECBVMN;RUTA;;X;
LECBVMS;RUTA;;X;
LECBVNI;RUTA;;X;X
LECBVVI;RUTA;;X;
LECBVVS;RUTA;;X;
