;;Nucleos Canarias
;Tipo Sector;Canarias Ruta
GCCCOCE;RUTA;x
GCCCNWW;RUTA;x
GCCCRE2;RUTA;x
GCCCCWS;RUTA;x
GCCCOCE;RUTA;x
GCCCRE2;RUTA;x
GCCCRW4;RUTA;x
GCCCR2E;RUTA;x
GCCCNWW;RUTA;x
GCCCOCE;RUTA;x
GCCCOCE;RUTA;x
GCCCRU6;RUTA;x
GCCCRCS;RUTA;x
GCCCRNE;RUTA;x
GCCCNWW;RUTA;x
GCCCOCE;RUTA;x
GCCCRNE;RUTA;x
GCCCRWS;RUTA;x
GCCCOCE;RUTA;x
GCCCRCE;RUTA;x
GCCCRW4;RUTA;x
GCCCOCE;RUTA;x
GCCCRNE;RUTA;x
GCCCRW3;RUTA;x
GCCCOCE;RUTA;x
GCCCRES;RUTA;x
GCCCCWS;RUTA;x
GCCCNWW;RUTA;x
GCCCOCE;RUTA;x
GCCCRCE;RUTA;x
GCCCRNE;RUTA;x
GCCCR2E;RUTA;x
GCCCRW3;RUTA;x
GCCCRCE;RUTA;x
GCCCOCE;RUTA;x
GCCCRW3;RUTA;x
GCCCCES;RUTA;x
GCCCRNE;RUTA;x
GCCCOCE;RUTA;x
GCCCGCN;RUTA;x
GCCCF21;RUTA;x
GCCCD26;RUTA;x
GCCCAAC;RUTA;x
GCCCFCN;RUTA;x
GCCCF21;RUTA;x
GCCCAAC;RUTA;x
GCCCGCN;RUTA;x
GCCCACW;RUTA;x
GCCCFCW;RUTA;x
GCCCGCS;RUTA;x
GCCCINB;RUTA;x
GCCCAAC;RUTA;x
GCCCF03;RUTA;x
GCCCAAC;RUTA;x
GCCCFCW;RUTA;x
GCCCACW;RUTA;x
GCCCIGC;RUTA;x
GCCCTW2;RUTA;x
GCCCAAC;RUTA;x
GCCCTM3;RUTA;x
GCCCAAC;RUTA;x
GCCCIGC;RUTA;x
GCCCD26;RUTA;x
GCCCFCN;RUTA;x
GCCCINB;RUTA;x
GCCCAAC;RUTA;x
GCCCIGC;RUTA;x
GCCCACW;RUTA;x
GCCCGCS;RUTA;x
GCCCFCW;RUTA;x
GCCCAAC;RUTA;x
GCCCF03;RUTA;x
GCCCF21;RUTA;x
GCCCAAC;RUTA;x
GCCCINB;RUTA;x
GCCCGCN;RUTA;x
GCCCAAC;RUTA;x
GCCCFCN;RUTA;x
GCCCD26;RUTA;x
GCCCF03;RUTA;x
GCCCGCS;RUTA;x
GCCCRCW;RUTA;x
GCCCNWW;RUTA;x
GCCCRNE;RUTA;x
GCCCOCE;RUTA;x
GCCCCES;RUTA;x
GCCCRCW;RUTA;x
GCCCNWW;RUTA;x
GCCCOCE;RUTA;x
GCCCRCE;RUTA;x
GCCCR2E;RUTA;x
GCCCNWW;RUTA;x
GCCCRCW;RUTA;x
GCCCOCE;RUTA;x
GCCCRES;RUTA;x
GCCCOCE;RUTA;x
GCCCRWS;RUTA;x
GCCCRNE;RUTA;x
GCCCRCE;RUTA;x
GCCCRCW;RUTA;x
GCCCRC2;RUTA;x
GCCCRC2;RUTA;x
