Momento Actual;20:40:00;;;;;;;;;;;
-;55;60;55;55;55;55;55;60;;;;
C1;lemdrsn;LEMDRSN;111;lemdrsn;LEMDRSN;111;lemdrsn;LEMDRSN;;;;
C2;111;lemdrsn;LEMDRSN;111;lemdrsn;LEMDRSN;111;lemdrsn;;;;
C3;LEMDRSN;111;lemdrsn;LEMDRSN;111;lemdrsn;LEMDRSN;111;;;;
-;40;40;40;40;40;40;20;40;40;40;40;30
C4;lemdwdn;lemdwdn;LEMDWDN;111;lemdafn;lemdafn;LEMDAFN;111;lemdwdn;LEMDWDN;LEMDWDN;111
C5;LEMDWDN;LEMDWDN;111;lemdwdn;lemdwdn;LEMDWDN;111;lemdain;LEMDAIN;LEMDAIN;111;lemdwdn
C6;LEMDAIN;111;lemdain;lemdain;LEMDAIN;111;lemdwdn;lemdwdn;LEMDWDN;111;lemdain;LEMDAIN
C7;111;lemdain;LEMDAIN;LEMDAIN;111;lemdain;lemdain;LEMDAIN;111;lemdafn;LEMDAFN;LEMDAFN
C8;lemdain;LEMDAIN;111;lemdafn;LEMDAFN;LEMDAFN;111;lemdafn;lemdafn;LEMDAFN;111;lemdain
C9;111;lemdafn;lemdafn;LEMDAFN;111;lemdwdn;LEMDWDN;LEMDWDN;111;lemdwdn;lemdwdn;LEMDWDN
C10;lemdafn;LEMDAFN;LEMDAFN;111;lemdain;LEMDAIN;LEMDAIN;111;lemdain;lemdain;LEMDAIN;111
C11;LEMDAFN;111;lemdwdn;LEMDWDN;LEMDWDN;111;lemdafn;LEMDAFN;LEMDAFN;111;lemdafn;lemdafn
C12;lemdedn;lemdedn;LEMDEDN;111;lemdesn;lemdesn;LEMDESN;111;lemdedn;LEMDEDN;LEMDEDN;111
C13;LEMDEDN;LEMDEDN;111;lemdedn;lemdedn;LEMDEDN;111;lemdren;LEMDREN;LEMDREN;111;lemdedn
C14;LEMDREN;111;lemdren;lemdren;LEMDREN;111;lemdedn;lemdedn;LEMDEDN;111;lemdren;LEMDREN
C15;111;lemdren;LEMDREN;LEMDREN;111;lemdren;lemdren;LEMDREN;111;lemdesn;LEMDESN;LEMDESN
C16;lemdren;LEMDREN;111;lemdesn;LEMDESN;LEMDESN;111;lemdesn;lemdesn;LEMDESN;111;lemdren
C17;111;lemdesn;lemdesn;LEMDESN;111;lemdedn;LEMDEDN;LEMDEDN;111;lemdedn;lemdedn;LEMDEDN
C18;lemdesn;LEMDESN;LEMDESN;111;lemdren;LEMDREN;LEMDREN;111;lemdren;lemdren;LEMDREN;111
C19;LEMDESN;111;lemdedn;LEMDEDN;LEMDEDN;111;lemdesn;LEMDESN;LEMDESN;111;lemdesn;lemdesn
