SECTOR;Sectores Elementales
LECMASI;LECMASL
LECMASI;LECMASU
LECMASL;LECMASL
LECMASU;LECMASU
LECMBDI;
LECMBDP;
LECMBLI;LECMBLL
LECMBLI;LECMBLU
LECMBLL;LECMBLL
LECMBLU;LECMBLU
LECMCJI;LECMCJL
LECMCJI;LECMCJU
LECMCJL;LECMCJL
LECMCJU;LECMCJU
LECMCZI;
LECMDGI;LECMDGL
LECMDGI;LECMDGU
LECMDGL;LECMDGL
LECMDGU;LECMDGU
LECMDPI;
LECMDPZ;
LECMNWL;LECMASL
LECMPAI;LECMPAL
LECMPAI;LECMPAU
LECMPAL;LECMPAL
LECMPAU;LECMPAU
LECMR1I;
LECMR2I;
LECMSAB;
LECMSAI;LECMASL
LECMSAI;LECMASU
LECMSAI;LECMSAN
LECMSAN;LECMSAN
LECMSAU;
LECMSEI;
LECMSWI;
LECMTCI;
LECMTER;LECMTER
LECMTLI;LECMTLL
LECMTLI;LECMTLU
LECMTLL;LECMTLL
LECMTLU;LECMTLU
LECMTZI;LECMTER
LECMTZI;LECMZGZ
LECMZGZ;LECMZGZ
LECMZLM;LECMZLM
LECMZMI;LECMZLM
LECMZMI;LECMZMU
LECMZML;
LECMZMU;LECMZMU
LECMZPI;
LECMZTI;
LECMZUM;LECMZMU
LEMDAF;LEMDAF
LEMDAI;LEMDAI
LEMDALN;NULL
LEMDALS;NULL
LEMDAPN;LEMDAF
LEMDAPN;LEMDAI
LEMDAPS;LEMDAF
LEMDAPS;LEMDAI
LEMDARN;
LEMDARS;
LEMDATN;
LEMDATS;
LEMDDE;LEMDDE
LEMDDIN;LEMDDE
LEMDDIN;LEMDDW
LEMDDIS;LEMDDE
LEMDDIS;LEMDDW
LEMDDNS;LEMDDE
LEMDDNS;LEMDEN
LEMDDW;LEMDDW
LEMDEAN;
LEMDEAS;
LEMDEDN;LEMDDE
LEMDEDN;LEMDEN
LEMDEDS;LEMDDE
LEMDEDS;LEMDES
LEMDEIN;LEMDEN
LEMDEIN;LEMDES
LEMDEIS;LEMDEN
LEMDEIS;LEMDES
LEMDEN;LEMDEN
LEMDERN;LEMDEN
LEMDERN;LEMDES
LEMDERN;LEMDRE
LEMDERS;LEMDEN
LEMDERS;LEMDES
LEMDERS;LEMDRE
LEMDES;LEMDES
LEMDETN;
LEMDEXN;
LEMDEXS;
LEMDRE;LEMDRE
LEMDRIN;LEMDRE
LEMDRIN;LEMDRW
LEMDRIS;LEMDRE
LEMDRIS;LEMDRW
LEMDRNN;LEMDES
LEMDRNN;LEMDRE
LEMDRNS;LEMDRW
LEMDRNS;LEMDWN
LEMDRSN;LEMDRW
LEMDRSN;LEMDWS
LEMDRSS;LEMDEN
LEMDRSS;LEMDRE
LEMDRW;LEMDRW
LEMDTEN;LEMDDE
LEMDTEN;LEMDEN
LEMDTEN;LEMDES
LEMDTES;LEMDDE
LEMDTES;LEMDEN
LEMDTES;LEMDES
LEMDTNN;
LEMDTNS;
LEMDTSN;
LEMDTSS;
LEMDTWN;LEMDDW
LEMDTWN;LEMDWN
LEMDTWN;LEMDWS
LEMDTWS;LEMDDW
LEMDTWS;LEMDWN
LEMDTWS;LEMDWS
LEMDWAN;
LEMDWAS;
LEMDWDN;LEMDDW
LEMDWDN;LEMDWN
LEMDWDS;LEMDDW
LEMDWDS;LEMDWS
LEMDWIN;LEMDWN
LEMDWIN;LEMDWS
LEMDWIS;LEMDWN
LEMDWIS;LEMDWS
LEMDWN;LEMDWN
LEMDWRN;LEMDRW
LEMDWRN;LEMDWN
LEMDWRN;LEMDWS
LEMDWRS;LEMDRW
LEMDWRS;LEMDWN
LEMDWRS;LEMDWS
LEMDWS;LEMDWS
LEMDXES;LEMDDE
LEMDXES;LEMDDW
LEMDXES;LEMDES
LEMDXWN;LEMDDE
LEMDXWN;LEMDDW
LEMDXWN;LEMDWN
