;;Nucleos Palma
;Tipo Sector;Palma APP
LECP12O;Ruta;x
LECPALP;Ruta;x
LECPAPM;Ruta;x
LECPAPO;Ruta;x
LECPAPP;Ruta;x
LECPAPR;Ruta;x
LECPDEO;Ruta;x
LECPDEX;Ruta;x
LECPDWO;Ruta;x
LECPDWX;Ruta;x
LECPF12;Ruta;x
LECPF1O;Ruta;x
LECPF1X;Ruta;x
LECPF2M;Ruta;x
LECPF2X;Ruta;x
LECPGIM;Ruta;x
LECPGIO;Ruta;x
LECPGIX;Ruta;x
LECPGMX;Ruta;x
LECPGOM;Ruta;x
LECPGOX;Ruta;x
LECPGXX;Ruta;x
LECPIAE;Ruta;x
LECPIAW;Ruta;x
LECPIRE;Ruta;x
LECPIRW;Ruta;x
LECPIXX;Ruta;x
LECPL1E;Ruta;x
LECPL1W;Ruta;x
LECPL2E;Ruta;x
LECPL2W;Ruta;x
LECPMXX;Ruta;x
LECPRUT;Ruta;x
